USERID,BROWSER_COUNT,COURSE_COUNT,COURSE_LAST_ACCESS,COURSE_SUM_VIEW,COURSE_AVG_SCORE,EXAM_AH_SCORE,EXAM_WRITEN_SCORE,EXAM_MIDDLE_SCORE,EXAM_LAB,EXAM_PROGRESS,EXAM_GROUP_SCORE,EXAM_FACE_SCORE,EXAM_ONLINE_SCORE,NODEBB_LAST_POST,NODEBB_CHANNEL_COUNT,NODEBB_TOPIC_COUNT,COURSE_SUM_VIDEO_LEN,SEX,MAJORID,STATUS,GRADE,CLASSID,EXAM_HOMEWORK,EXAM_LABSCORE,EXAM_OTHERSCORE,NODEBB_PARTICIPATIONRATE,COURSE_WORKTIME,COURSE_WORKACCURACYRATE,COURSE_WORKCOMPLETERATE,NODEBB_POSTSCOUNT,NODEBB_NORMALBBSPOSTSCOUONT,NODEBB_REALBBSARCHIVECOUNT,NORMALBBSARCHIVECOUNT,COURSE_WORKCOUNT,STUNO,ID,STUID,COURSEOPENID,HOMEWORKSCORE,WRITTENASSIGNMENTSCORE,MIDDLEASSIGNMENTSCORE,LABSCORE,OTHERSCORE,TOTALSCORE,STUDYTERM,COURSEID,EXAMNUM,PROCESS,GROUPSTUDYSCORE,FACESTUDYSCORE,ONLINESTUDYSCORE
310_20178310080783,334.0,11,1513620209.0,,0.0,94.0,2.727272727272727,1.7272727272727273,30.583333333333332,0.0,0.0,10.45,6.277272727272727,1510338695.0,2.0,2.0,0.0,女,310_260000256,注册,201703,310_20178310080020,52.45454545454545,20.363636363636363,0,9.29,5430.428571428572,67.52857142857142,94.28571428571429,4.428571428571429,0.0,1.5714285714285714,0.0,6.571428571428571,20178310080783,t4yzarwohqvdc3a4q-z1zq,310_20178310080783,a0euanqnrrzbdsesy4rymw,38,0,19,0,0,97,201703,310_260000656,"2,7510",0,0,20.0,20.0
310_20178310080790,744.0,407,1513371366.0,0.7188194444444445,0.41681901279707495,91.45454545454545,2.727272727272727,1.7272727272727273,21.35,0.0,0.0,9.39090909090909,5.713636363636364,1522432530.0,2.0,2.0,0.0,女,310_260000256,注册,201703,310_20178310080020,51.81818181818182,20.0,0,6.616666666666666,9636.833333333334,44.835,100.0,4.833333333333333,0.0,1.3333333333333333,0.0,8.833333333333334,20178310080790,vekcabgoj5xeaq1wxo-i-a,310_20178310080790,a0euanqnrrzbdsesy4rymw,38,0,19,0,0,94,201703,310_260000656,"2,7510",0,0,17.0,20.0
310_20128310060450,17.0,9,1505817114.0,,,54.166666666666664,6.166666666666667,7.5,,0.0,0.0,33.233333333333334,7.333333333333333,,,,0.0,男,310_260000040,注册,201203,310_20128310060088,0.0,0.0,0,0.0,0.0,38.642857142857146,85.71428571428571,0.0,0.0,0.0,0.0,0.5714285714285714,20128310060450,n-gtadyo-zncfssre8cqvq,310_20128310060450,a0euanqnrrzbdsesy4rymw,0,0,18,0,0,52,201703,310_260000656,"2,7510",0,0,17.2,17.0
310_20128310320840,154.0,133,1513881356.0,0.021608796296296296,,81.0,0.0,17.0,,99.0,0.0,15.0,14.0,,,,1867.0,女,310_260000090,注册,201203,310_20128310320099,35.0,0.0,0,0.0,28253.0,84.14,100.0,0.0,0.0,0.0,0.0,7.0,20128310320840,io4sauqoarjm3nhle5p5aa,310_20128310320840,a0euanqnrrzbdsesy4rymw,35,0,17,0,0,81,201703,310_260000656,"2,7510",99,0,15.0,14.0
310_20128310320777,50.0,1,1514159216.0,,,67.0,0.0,17.0,,0.0,0.0,15.0,14.0,,,,0.0,女,310_260000090,注册,201203,310_20128310320099,21.0,0.0,0,0.0,12071.0,57.2,100.0,0.0,0.0,0.0,0.0,5.0,20128310320777,9tl7acmop59oretuqrhvzg,310_20128310320777,a0euanqnrrzbdsesy4rymw,21,0,17,0,0,67,201703,310_260000656,"2,7510",0,0,15.0,14.0
310_20138310060308,138.0,45,1514114671.0,0.00017361111111111112,,77.4,7.4,10.0,,15.6,0.0,14.64,7.0,,,,1.0,男,310_260000040,注册,201301,310_20138310060017,27.6,10.8,0,0.0,3471.3333333333335,89.25,100.0,0.0,0.0,0.0,0.0,3.0,20138310060308,j--tadyowlniaog6vizr6a,310_20138310060308,a0euanqnrrzbdsesy4rymw,35,0,18,0,0,87,201703,310_260000656,"2,7510",0,0,17.2,17.0
310_20138310320705,54.0,1,1513362312.0,,,50.0,0.0,17.0,,0.0,0.0,15.0,14.0,,,,0.0,男,310_260000090,注册,201303,310_20138310320099,4.0,0.0,0,0.0,1080.0,24.8,100.0,0.0,0.0,0.0,0.0,5.0,20138310320705,bdhqauioxzfkcmhcvvvfxq,310_20138310320705,a0euanqnrrzbdsesy4rymw,4,0,17,0,0,50,201703,310_260000656,"2,7510",0,0,15.0,14.0
310_20138310250134,80.0,7,1509478254.0,,,87.5,3.0,6.5,,0.0,0.0,13.233333333333333,9.983333333333333,1475013675.0,1.0,1.0,0.0,男,310_260000190,注册,201303,310_20138310250041,46.666666666666664,8.0,0,0.0,2936.0,86.9,100.0,0.0,0.0,0.0,0.0,4.0,20138310250134,1ymyarcohjbn7uj8dc-yga,310_20138310250134,a0euanqnrrzbdsesy4rymw,38,0,19,0,0,95,201703,310_260000656,"2,7510",0,0,19.0,19.0
310_20138310250135,227.0,8,1509025899.0,,,89.375,2.25,4.875,,0.0,0.0,10.5375,5.975,1476199060.0,1.0,1.0,0.0,女,310_260000190,注册,201303,310_20138310250041,56.0,9.625,0,0.0,7961.5,82.925,100.0,0.0,0.0,0.0,0.0,7.0,20138310250135,yih4afungonh9jso-bxfga,310_20138310250135,a0euanqnrrzbdsesy4rymw,37,0,19,0,0,94,201703,310_260000656,"2,7510",0,0,19.0,19.0
310_20168310450071,238.0,1368,1513981900.0,0.30604166666666666,,71.73333333333333,9.066666666666666,5.533333333333333,26.166666666666668,3.8666666666666667,0.0,8.11,0.8833333333333333,,,,106.8,男,310_260000247,注册,201603,310_20168310450037,35.266666666666666,12.866666666666667,0,0.0,2230.1,28.015,66.667,0.0,0.0,0.0,0.0,7.8,20168310450071,6ozjas-ozprhte5-ohrlww,310_20168310450071,a0euanqnrrzbdsesy4rymw,38,0,0,0,0,38,201703,310_260000656,"2,7510",0,0,0.0,0.0
